Food_type;Date;Tot_given ;Tot_retrieved;Tot_eaten;Prop_eaten;Date_last_change;Days_since_change;Time_bt_meas;Tsoil_max;Tsoil_min
Crickets;07/02/2020;12;1;11;0.916666667;26/11/2019;73;#N/A;#N/A;#N/A
Crickets;14/02/2020;13;1;12;0.923076923;26/11/2019;80;7;#N/A;#N/A
Crickets;09/03/2020;12;2;10;0.833333333;26/11/2019;104;24;#N/A;#N/A
Shrimp;30/03/2020;15;7;8;0.533333333;26/11/2019;125;21;#N/A;#N/A
Shrimp;13/05/2020;16;14;2;0.125;21/04/2020;22;22;#N/A;#N/A
Crickets;27/05/2020;14;9;5;0.357142857;21/04/2020;36;14;#N/A;#N/A
Crickets;29/05/2020;38;32;6;0.157894737;21/04/2020;38;2;#N/A;#N/A
Crickets;03/06/2020;35;30;5;0.142857143;21/04/2020;43;5;#N/A;#N/A
Shrimp;05/06/2020;12;9;3;0.25;21/04/2020;45;2;#N/A;#N/A
Crickets;08/06/2020;13;10;3;0.230769231;21/04/2020;48;3;#N/A;#N/A
Shrimp;12/06/2020;32;29;3;0.09375;21/04/2020;52;4;#N/A;#N/A
Crickets;15/06/2020;33;8;25;0.757575758;21/04/2020;55;3;#N/A;#N/A
Shrimp;17/06/2020;40;33;7;0.175;21/04/2020;57;2;#N/A;#N/A
Crickets;19/06/2020;32;20;12;0.375;21/04/2020;59;2;#N/A;#N/A
Crickets;22/06/2020;20;15;5;0.25;21/04/2020;62;3;#N/A;#N/A
Shrimp;26/06/2020;22;18;4;0.181818182;21/04/2020;66;4;#N/A;#N/A
Shrimp;29/06/2020;20;20;0;0;21/04/2020;69;3;#N/A;#N/A
Crickets;01/07/2020;34;17;17;0.5;21/04/2020;71;2;26.1;25.7
Crickets;04/07/2020;23;6;17;0.739130435;21/04/2020;74;3;26.8;#N/A
Shrimp;06/07/2020;22;11;11;0.5;21/04/2020;76;2;27.9;27.3
Crickets;08/07/2020;12;8;4;0.333333333;21/04/2020;78;2;27.9;27.7
Shrimp;10/07/2020;28;16;12;0.428571429;21/04/2020;80;2;27.4;26.8
Crickets;13/07/2020;41;32;9;0.219512195;21/04/2020;83;3;27.6;27.1
Shrimp;15/07/2020;28;17;11;0.392857143;21/04/2020;85;2;27.3;#N/A
Shrimp;17/07/2020;27;20;7;0.259259259;21/04/2020;87;2;27.3;#N/A
Shrimp;21/07/2020;54;16;38;0.703703704;21/04/2020;91;4;26;25.7
Crickets;22/07/2020;30;13;17;0.566666667;21/04/2020;92;1;27.1;25.7
Shrimp;24/07/2020;26;7;19;0.730769231;21/04/2020;94;2;28.3;27.2
Crickets;27/07/2020;25;12;13;0.52;21/04/2020;97;3;28.3;28
Crickets;29/07/2020;25;14;11;0.44;21/04/2020;99;2;27.9;27.6
Shrimp;31/07/2020;26;23;3;0.115384615;21/04/2020;101;2;28.7;27.6
Shrimp;03/08/2020;26;19;7;0.269230769;21/04/2020;104;3;28.6;27.8
Crickets;05/08/2020;25;11;14;0.56;21/04/2020;106;2;27.7;27.1
Shrimp;07/08/2020;31;19;12;0.387096774;21/04/2020;108;2;27.5;26.6
Crickets;12/08/2020;45;19;26;0.577777778;21/04/2020;113;5;27.6;26.8
Shrimp;14/08/2020;41;34;7;0.170731707;21/04/2020;115;2;26.3;25.7
Shrimp;19/08/2020;40;24;16;0.4;21/04/2020;120;5;27.7;26.4
Crickets;21/08/2020;20;2;18;0.9;21/04/2020;122;2;27.8;27.5
Crickets;26/08/2020;23;9;14;0.608695652;21/04/2020;127;5;27.4;27.2
Shrimp;31/08/2020;28;11;17;0.607142857;21/04/2020;132;5;26.6;26.3
Crickets;02/09/2020;33;15;18;0.545454545;21/04/2020;134;2;27;26.5
Shrimp;04/09/2020;19;4;15;0.789473684;21/04/2020;136;2;27.6;27.3
Shrimp;07/09/2020;28;19;9;0.321428571;21/04/2020;139;3;27.6;27.1
Crickets;12/09/2020;30;4;26;0.866666667;21/04/2020;144;5;27.9;27.5
Shrimp;14/09/2020;36;16;20;0.555555556;21/04/2020;146;2;28.3;27.7
Crickets;16/09/2020;34;14;20;0.588235294;21/04/2020;148;2;29;28.6
Crickets;18/09/2020;30;18;12;0.4;21/04/2020;150;2;29.1;26.7
Shrimp;21/09/2020;34;15;19;0.558823529;21/04/2020;153;3;27.8;26.5
Crickets;25/09/2020;29;14;15;0.517241379;21/04/2020;157;4;27;26.3
Shrimp;28/09/2020;40;22;18;0.45;21/04/2020;160;3;26.2;25.9
Crickets;23/10/2020;25;13;12;0.48;21/04/2020;185;25;#N/A;#N/A
Shrimp;26/10/2020;20;5;15;0.75;21/04/2020;188;3;#N/A;#N/A
Shrimp;02/11/2020;15;5;10;0.666666667;21/04/2020;195;7;28;27
Shrimp;09/11/2020;15;3;12;0.8;21/04/2020;202;7;26.8;26.3
Crickets;16/11/2020;25;7;18;0.72;21/04/2020;209;7;27;26.7
Crickets;27/11/2020;24;11;13;0.541666667;21/04/2020;220;11;30.4;28.3
Shrimp;30/11/2020;27;16;11;0.407407407;21/04/2020;223;3;28.6;27.9
Crickets;04/12/2020;26;10;16;0.615384615;21/04/2020;227;4;25.9;25.2
Shrimp;07/12/2020;25;10;15;0.6;21/04/2020;230;3;25.6;25.4
Crickets;14/12/2020;25;10;15;0.6;21/04/2020;237;7;25.9;25.6
Crickets;18/12/2020;32;6;26;0.8125;21/04/2020;241;4;26.4;25.6
Shrimp;21/12/2020;22;13;9;0.409090909;21/04/2020;244;3;26.7;26.2
Shrimp;28/12/2020;30;8;22;0.733333333;21/04/2020;251;7;26.7;26.2
Crickets;01/01/2021;20;8;12;0.6;21/04/2020;255;4;25;23.7
Shrimp;04/01/2021;32;18;14;0.4375;21/04/2020;258;3;24.7;23.8
Crickets;08/01/2021;25;15;10;0.4;21/04/2020;262;4;25.7;25.4
Shrimp;11/01/2021;23;19;4;0.173913043;21/04/2020;265;3;25.7;25.1
Crickets;15/01/2021;25;8;17;0.68;21/04/2020;269;4;28.5;26.7
Shrimp;18/01/2021;24;2;22;0.916666667;21/04/2020;272;3;25.3;24.7
Shrimp;25/01/2021;22;7;15;0.681818182;21/04/2020;279;7;25.3;24.5
Crickets;27/01/2021;25;8;17;0.68;21/04/2020;281;2;24.8;24.5
Crickets;29/01/2021;25;8;17;0.68;21/04/2020;283;2;25.5;25.3
Shrimp;01/02/2021;26;8;18;0.692307692;21/04/2020;286;3;26.1;25.7
Crickets;05/02/2021;25;12;13;0.52;21/04/2020;290;4;26.4;26.3
Crickets;10/02/2021;22;8;14;0.636363636;21/04/2020;295;5;26;25.7
Crickets;12/02/2021;25;10;15;0.6;21/04/2020;297;2;25.3;25
Crickets;17/02/2021;27;26;1;0.037037037;16/02/2021;1;1;29.1;23.3
Crickets;19/02/2021;30;30;0;0;16/02/2021;3;2;26.5;25.5
Crickets;24/02/2021;25;4;21;0.84;16/02/2021;8;5;25.1;24.6
Crickets;26/02/2021;25;13;12;0.48;16/02/2021;10;2;26;25.6
Shrimp;01/03/2021;37;20;17;0.459459459;16/02/2021;13;3;25.8;25.5
Crickets;05/03/2021;31;19;12;0.387096774;16/02/2021;17;4;27.8;26.5
Shrimp;08/03/2021;30;30;0;0;16/02/2021;20;3;25.1;24.6
Crickets;12/03/2021;25;12;13;0.52;16/02/2021;24;4;28.9;26.1
Shrimp;15/03/2021;25;6;19;0.76;16/02/2021;27;3;29;26.3
Crickets;17/03/2021;30;16;14;0.466666667;16/02/2021;29;2;25.8;25.5
Crickets;19/03/2021;25;10;15;0.6;16/02/2021;31;2;25.9;25.4
Shrimp;22/03/2021;24;18;6;0.25;16/02/2021;34;3;29.2;27
Crickets;26/03/2021;25;13;12;0.48;16/02/2021;38;4;26.5;26.1
Shrimp;29/03/2021;25;20;5;0.2;16/02/2021;41;3;26.4;26.1
Crickets;02/04/2021;25;14;11;0.44;16/02/2021;45;4;27.1;26.4
Shrimp;05/04/2021;22;18;4;0.181818182;16/02/2021;48;3;25.7;25
Crickets;07/04/2021;30;20;10;0.333333333;16/02/2021;50;2;25.9;25.1
Crickets;09/04/2021;25;10;15;0.6;16/02/2021;52;2;25.2;24.5
Shrimp;12/04/2021;18;14;4;0.222222222;16/02/2021;55;3;25.5;24.9
Crickets;14/04/2021;37;9;28;0.756756757;16/02/2021;57;2;25.2;24.2
Crickets;16/04/2021;34;30;4;0.117647059;16/02/2021;59;2;25.6;24.7
Shrimp;19/04/2021;20;3;17;0.85;16/02/2021;62;3;26.3;24.6
Crickets;23/04/2021;25;17;8;0.32;16/02/2021;66;4;26.1;25.4
Shrimp;26/04/2021;27;12;15;0.555555556;16/02/2021;69;3;25.9;25.2
Crickets;28/04/2021;41;9;32;0.780487805;16/02/2021;71;2;26.1;25.2
Crickets;30/04/2021;30;8;22;0.733333333;16/02/2021;73;2;25.6;24.9
Shrimp;03/05/2021;34;20;14;0.411764706;16/02/2021;76;3;25.9;25.4
Crickets;07/05/2021;25;9;16;0.64;16/02/2021;80;4;25.2;24.7
Shrimp;10/05/2021;30;8;22;0.733333333;16/02/2021;83;3;26.4;24.3
Crickets;14/05/2021;35;16;19;0.542857143;16/02/2021;87;4;25.5;24.4
Shrimp;17/05/2021;27;9;18;0.666666667;16/02/2021;90;3;24.3;23.8
Crickets;21/05/2021;25;8;17;0.68;16/02/2021;94;4;25.1;24.1
Crickets;24/05/2021;25;13;12;0.48;16/02/2021;97;3;24.6;23.8
Shrimp;26/05/2021;25;13;12;0.48;16/02/2021;99;2;25;24.5
Crickets;28/05/2021;32;20;12;0.375;16/02/2021;101;2;26.3;24.9
Shrimp;31/05/2021;42;34;8;0.19047619;16/02/2021;104;3;26.9;26.4
